In assembly 'Ensure.That, Version=10.1.0.0, PublicKeyToken=d7cf9132176ba30b': Failed to resolve assembly reference to 'netstandard, Version=2.1.0.0, PublicKeyToken=cc7b13ffcd2ddd51'
In assembly 'Microsoft.TestPlatform.CrossPlatEngine, Version=15.0.0.0, PublicKeyToken=b03f5f7f11d50a3a': Failed to resolve type reference 'System.Diagnostics.CodeAnalysis.DoesNotReturnIfAttribute' in assembly 'Microsoft.TestPlatform.CoreUtilities, Version=15.0.0.0, PublicKeyToken=b03f5f7f11d50a3a'
In assembly 'Microsoft.TestPlatform.CrossPlatEngine, Version=15.0.0.0, PublicKeyToken=b03f5f7f11d50a3a': Failed to resolve type reference 'System.Diagnostics.CodeAnalysis.NotNullIfNotNullAttribute' in assembly 'Microsoft.TestPlatform.CoreUtilities, Version=15.0.0.0, PublicKeyToken=b03f5f7f11d50a3a'
In assembly 'Microsoft.TestPlatform.CrossPlatEngine, Version=15.0.0.0, PublicKeyToken=b03f5f7f11d50a3a': Failed to resolve type reference 'System.Diagnostics.CodeAnalysis.NotNullWhenAttribute' in assembly 'Microsoft.TestPlatform.CoreUtilities, Version=15.0.0.0, PublicKeyToken=b03f5f7f11d50a3a'
In assembly 'Microsoft.TestPlatform.CrossPlatEngine, Version=15.0.0.0, PublicKeyToken=b03f5f7f11d50a3a': reference 'Microsoft.TestPlatform.CoreUtilities, Version=15.0.0.0, PublicKeyToken=b03f5f7f11d50a3a' resolved from 'Microsoft.TestPlatform.CoreUtilities.dll' as 'Microsoft.TestPlatform.CoreUtilities, Version=15.0.0.0, PublicKeyToken=b03f5f7f11d50a3a'
In assembly 'Microsoft.VisualStudio.TestPlatform.Common, Version=15.0.0.0, PublicKeyToken=b03f5f7f11d50a3a': Failed to resolve assembly reference to 'System.Collections.Immutable, Version=1.2.3.0, PublicKeyToken=b03f5f7f11d50a3a'
In assembly 'Microsoft.VisualStudio.TestPlatform.Common, Version=15.0.0.0, PublicKeyToken=b03f5f7f11d50a3a': Failed to resolve assembly reference to 'System.Reflection.Metadata, Version=1.4.3.0, PublicKeyToken=b03f5f7f11d50a3a'
In assembly 'Microsoft.VisualStudio.TestPlatform.Common, Version=15.0.0.0, PublicKeyToken=b03f5f7f11d50a3a': Failed to resolve member reference 'System.Void System.Diagnostics.CodeAnalysis.AllowNullAttribute::.ctor()' in assembly 'Microsoft.TestPlatform.CoreUtilities, Version=15.0.0.0, PublicKeyToken=b03f5f7f11d50a3a'
In assembly 'Microsoft.VisualStudio.TestPlatform.Common, Version=15.0.0.0, PublicKeyToken=b03f5f7f11d50a3a': Failed to resolve member reference 'System.Void System.Diagnostics.CodeAnalysis.DoesNotReturnAttribute::.ctor()' in assembly 'Microsoft.TestPlatform.CoreUtilities, Version=15.0.0.0, PublicKeyToken=b03f5f7f11d50a3a'
In assembly 'Microsoft.VisualStudio.TestPlatform.Common, Version=15.0.0.0, PublicKeyToken=b03f5f7f11d50a3a': Failed to resolve member reference 'System.Void System.Diagnostics.CodeAnalysis.DoesNotReturnIfAttribute::.ctor(System.Boolean)' in assembly 'Microsoft.TestPlatform.CoreUtilities, Version=15.0.0.0, PublicKeyToken=b03f5f7f11d50a3a'
In assembly 'Microsoft.VisualStudio.TestPlatform.Common, Version=15.0.0.0, PublicKeyToken=b03f5f7f11d50a3a': Failed to resolve member reference 'System.Void System.Diagnostics.CodeAnalysis.NotNullIfNotNullAttribute::.ctor(System.String)' in assembly 'Microsoft.TestPlatform.CoreUtilities, Version=15.0.0.0, PublicKeyToken=b03f5f7f11d50a3a'
In assembly 'Microsoft.VisualStudio.TestPlatform.Common, Version=15.0.0.0, PublicKeyToken=b03f5f7f11d50a3a': Failed to resolve member reference 'System.Void System.Diagnostics.CodeAnalysis.NotNullWhenAttribute::.ctor(System.Boolean)' in assembly 'Microsoft.TestPlatform.CoreUtilities, Version=15.0.0.0, PublicKeyToken=b03f5f7f11d50a3a'
In assembly 'Microsoft.VisualStudio.TestPlatform.Common, Version=15.0.0.0, PublicKeyToken=b03f5f7f11d50a3a': Failed to resolve type reference 'System.Diagnostics.CodeAnalysis.AllowNullAttribute' in assembly 'Microsoft.TestPlatform.CoreUtilities, Version=15.0.0.0, PublicKeyToken=b03f5f7f11d50a3a'
In assembly 'Microsoft.VisualStudio.TestPlatform.Common, Version=15.0.0.0, PublicKeyToken=b03f5f7f11d50a3a': Failed to resolve type reference 'System.Diagnostics.CodeAnalysis.DoesNotReturnAttribute' in assembly 'Microsoft.TestPlatform.CoreUtilities, Version=15.0.0.0, PublicKeyToken=b03f5f7f11d50a3a'
In assembly 'Microsoft.VisualStudio.TestPlatform.Common, Version=15.0.0.0, PublicKeyToken=b03f5f7f11d50a3a': Failed to resolve type reference 'System.Diagnostics.CodeAnalysis.DoesNotReturnIfAttribute' in assembly 'Microsoft.TestPlatform.CoreUtilities, Version=15.0.0.0, PublicKeyToken=b03f5f7f11d50a3a'
In assembly 'Microsoft.VisualStudio.TestPlatform.Common, Version=15.0.0.0, PublicKeyToken=b03f5f7f11d50a3a': Failed to resolve type reference 'System.Diagnostics.CodeAnalysis.NotNullIfNotNullAttribute' in assembly 'Microsoft.TestPlatform.CoreUtilities, Version=15.0.0.0, PublicKeyToken=b03f5f7f11d50a3a'
In assembly 'Microsoft.VisualStudio.TestPlatform.Common, Version=15.0.0.0, PublicKeyToken=b03f5f7f11d50a3a': Failed to resolve type reference 'System.Diagnostics.CodeAnalysis.NotNullWhenAttribute' in assembly 'Microsoft.TestPlatform.CoreUtilities, Version=15.0.0.0, PublicKeyToken=b03f5f7f11d50a3a'
In assembly 'Microsoft.VisualStudio.TestPlatform.Common, Version=15.0.0.0, PublicKeyToken=b03f5f7f11d50a3a': reference 'Microsoft.TestPlatform.CoreUtilities, Version=15.0.0.0, PublicKeyToken=b03f5f7f11d50a3a' resolved from 'Microsoft.TestPlatform.CoreUtilities.dll' as 'Microsoft.TestPlatform.CoreUtilities, Version=15.0.0.0, PublicKeyToken=b03f5f7f11d50a3a'
In assembly 'Microsoft.VisualStudio.TestPlatform.ObjectModel, Version=15.0.0.0, PublicKeyToken=b03f5f7f11d50a3a': Failed to resolve assembly reference to 'System.Reflection.Metadata, Version=1.4.5.0, PublicKeyToken=b03f5f7f11d50a3a'
